,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Gender,0.013672934975385022,-0.0029290125883829426,-0.003275140661641078,-0.04452313893266483,0.0366256714434121,0.0017958281273353503,-0.1736202256631892,0.5829321901079757,-0.05124763007149924,0.013263567952626525,0.017354916678960906,-0.046887693310600435,0.2405623781378805,0.0003170524570350086
Tenure_Months,0.0023874724328350146,-0.011473186469237518,-0.00986315656904899,-0.039350972605229816,-0.07405036636415402,0.059953919979636346,-0.13023565614271915,0.20633368022160772,-0.2953387886761918,-0.05434239351329541,0.012233370522246677,-0.4187832664378788,0.5618171782297567,0.055907639828227766
Quantity,-0.108130041951331,0.47585654212677525,0.5973837854144493,0.04008436848199573,0.1313164773034566,0.2767044941127607,0.061918032012818945,0.00394573935738055,-0.021395047076000418,-0.08348436699820806,-0.034627917586801706,-0.03235467772631776,0.011051204825994749,0.125176561135206
Avg_Price,0.9259349479846273,-0.11795609900941516,-0.10874427566276774,-0.016065115217866653,0.13027320550787755,0.09672660322040327,-0.004768421780239718,-0.001052378450265827,0.006984373546921972,-0.017690066728996888,0.009856513589766903,0.0021709571190540802,-0.05032480078011309,-0.0005794179318450656
Delivery_Charges,-0.14097982665982672,0.38928999667104397,0.4698515340363994,0.02148341651447103,0.21086742329870176,0.2593665699679215,0.009108692129989025,0.02684470477545443,0.09536728910146482,0.07767701661889422,0.013385984903322282,0.01983988595744718,0.045096662784234354,0.14781296979096467
Discount_pct,0.050493098751684305,-0.07477731790595402,-0.061822149237946454,0.12829169502637405,-0.36006443572850716,0.37439447375053464,0.017097459275830573,-0.04497079626220538,-0.20329032781645057,-0.09488098949449669,-0.04652180877870195,-0.03497743529755728,0.30885057919286146,0.10214969502017
GST,-0.7654034642413522,-0.14448777993653267,-0.3258371251170882,-0.03159222528540811,0.3226165659862156,0.2978843313790609,0.017439333529825466,-0.0007314159187793093,-0.03200994691948173,-0.06003751658240185,0.009410610930504722,0.014446232584199147,-0.007836533130934673,0.005873860661121766
Invoice_Value,0.7270175291545754,0.2780475421827756,0.23602090467298506,0.0011968839694368404,0.3193201765036923,0.27782424470937866,0.029917940367746924,-0.003222585586168771,0.01553369192781035,-0.0023337795056228286,0.010398664436213028,-0.008767835803511644,0.0008504745459730328,0.11007473405885503
Week,0.17439518219621042,-0.13615014153510502,-0.12810888834583045,0.11408948557953526,-0.5183277538817445,0.44869346218734835,0.03854053472537678,0.03202502874578542,-0.0002817236944889879,-0.05882435898910898,-0.03772301305372251,0.033986450056340184,0.031834318878914074,-0.016800426888275093
Location_1,0.002219786927242533,0.06046868864026413,0.0269001235100307,-0.8292973783805775,-0.1138033653489229,0.0982338889664079,-0.374629942177333,-0.182123921415139,-0.018548419752640263,-0.049724669095043667,0.009509426080717668,0.021238285272937057,0.01291808027997002,0.0255833234978129
Location_2,-0.009910455296416328,-0.03585969512885301,0.0020910016496164556,0.8668417162850096,0.0862627996019097,-0.017826067842193396,-0.3338584370338079,-0.09346032537997488,-0.0013117118930734426,-0.01921520535555703,-0.032469909585755664,-0.01340550203836479,0.006258100786334931,-0.0028009109880284843
Location_3,0.004424557167960581,-0.018677507544464258,-0.041414267838186906,-0.03563215695294138,-0.02843405452268914,0.00679867302862849,0.8870157223928697,-0.16589053319420874,0.021046916413807494,0.09373005875028438,0.013039975507203231,-0.08372890710485867,0.23823219887130212,-0.0171905174197135
Location_4,0.017601375827055937,-0.009938110565958029,-0.011060961112492296,-0.05762592246576667,0.08438937149417207,-0.10340567865647331,0.22340846775966824,0.7938526718139162,-0.039138453005958466,-2.723870257259593e-05,0.020274292428528604,0.031363482733529,-0.24907683111617274,-0.014701409341954724
Coupon_Status_1,-0.050931631610262575,-0.7437127715353643,0.5482946084655088,-0.03847725618820843,0.06740559957688248,0.039237559812191895,0.0025021433799002745,-0.004776404844328051,0.002490283030761671,0.007344598336537371,0.011256093559303106,0.0006115435294858066,-0.0010908993933055,0.008220078288216085
Coupon_Status_2,0.043468874938021484,0.7420981679880996,-0.5487211961826398,0.029788942810433296,-0.07456780170587228,-0.049580335003296845,-0.007565039199473105,0.00521033231059792,0.004126434271492726,-0.011236578018668527,-0.009140612749188839,-0.00022093268117339345,0.001964987275664506,-0.01360362384833492
Product_Category_1,-0.16825301156994138,0.30348130957420266,0.4941232740547052,0.05384864678813381,-0.40309401224785624,-0.3488888218618286,0.06451785181888477,-0.018701269518728355,-0.3105332547478532,-0.37269323939196025,-0.003572951658012512,0.06370057820636264,-0.09950903042849582,-0.09800854519565476
Product_Category_2,0.7582868943469195,-0.09925986673761858,-0.10161264803974064,-0.03585779133221899,0.3971866227393133,-0.18671573054075788,-0.0010382878805190834,-0.08819127511065777,-0.1208813509503232,-0.1411965347562898,-0.10426108909691445,-0.005455004650115759,0.15985951763796113,0.0464937101631645
Product_Category_3,-0.14289304527492508,0.01640463663455135,-0.04309144121834396,0.03478031228363251,0.1658170961099585,0.22214093674054172,-0.013007239029940344,-0.03426556702438035,0.06487667846775481,-0.07266876190912556,0.8763538931943511,-0.1546598512244311,-0.03260055936062291,-0.05324010707816874
Product_Category_4,-0.26352667341517505,0.05245628146888004,-0.004987159440693418,-0.015484417059185462,0.20186494147589884,0.32707952941350793,-0.020974087336487816,-0.026936053471935662,-0.42696168358803915,0.5609268512955311,-0.29501874250144816,-0.026220462725511796,-0.16438359946821146,-0.09221056167911618
Product_Category_5,0.01593489817513061,0.0172113183778191,0.06043727645927543,0.01592724886722192,-0.24832176271356637,-0.33082674528445805,-0.04737453485865618,-0.039488757441563764,0.17437916423407437,0.44046220891515225,0.06564641686873715,-0.4702131471754471,-0.10459832467197878,0.5664468116268816
Product_Category_6,0.0,0.0,2.1556029724746685e-24,-0.0,2.019939148485983e-21,1.9524411153903093e-21,0.0,-0.0,0.0,-0.0,1.7018179451465208e-16,5.605601493948848e-17,-1.1145631076137977e-16,0.0
Product_Category_7,-0.28058972804919985,-0.012415474848380565,-0.03942051878985285,-0.02082680370810371,0.09685004355628091,0.1915435990866371,0.0028811960435729763,0.07697939041521812,0.6335201944576158,-0.349099491205524,-0.3890927585574832,-0.20674036448377325,0.05589601643820314,0.09468487312400489
Product_Category_8,0.4437463269194755,-0.025508207507287065,0.027928276019643553,0.028688968759400583,-0.4722352297080041,0.3951480480815224,-0.0023041215248376466,0.13880363811629448,0.1798174206702166,0.12951765443448826,0.04914951273137421,0.033427356669362814,-0.3018034877311676,-0.0663506673230132
Product_Category_9,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_10,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_11,0.02356424063452319,0.14209579573231085,0.22097397560045348,0.008945739392555893,-0.09890846954678899,-0.1554181277495618,-0.10293384337853816,0.04871798149591732,0.4036500854821409,0.45695756623483896,0.06432168040171099,0.2767603864538958,0.4586884183976833,-0.4104044657008569
Product_Category_12,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_13,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_14,-0.10942414519873139,-0.061661998403053725,-0.10306915801652064,0.018592262043075205,-0.03344329870611087,0.006203089232068647,0.0138685094277676,0.07145497402789787,-0.027474767829072523,0.018311855826008614,0.09207491878109346,0.6776165880903277,0.1872960672971868,0.628048714338849
Product_Category_15,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_17,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_18,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Product_Category_19,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
