,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,52924,15522,33814,3588,33202,13423,1785,4514,6446,4502,29790,10872,1314,28789,3277,7110,10590,1305,1853,29660,1822,4747,4475,2968,1255,7997,26371,4399,1241,7094,3374,1713,7953,779
Seg_Pct,100%,29%,64%,7%,63%,25%,3%,9%,12%,9%,56%,21%,2%,54%,6%,13%,20%,2%,4%,56%,3%,9%,8%,6%,2%,15%,50%,8%,2%,13%,6%,3%,15%,1%
Tenure_Months,26.12799486,26.10121118,26.15700597,25.97045708,26.17333293,26.07137004,26.35182073,25.87439078,26.03614645,25.85362061,26.17317892,26.15645695,26.2587519,26.14547223,25.87213915,26.20309423,26.15354108,26.19003831,25.83108473,26.16217127,26.09001098,25.93195703,26.13206704,25.90195418,26.14422311,26.205327,26.17841568,26.10365992,26.12489927,26.18367635,25.96502667,25.62054874,26.12070917,25.95250321
Quantity,3.635118283,3.021968818,3.056869936,11.73717949,3.008854888,2.860537883,17.82408964,4.933983163,9.59587341,5.452465571,2.20835851,1.116997792,21.34855403,2.148806836,9.275251755,8.063291139,1.081491974,21.4,1.844576363,2.081928523,1.931394072,1.094796714,12.8572067,9.519878706,21.81035857,1.094910591,1.885594024,1.132984769,21.55358582,6.537496476,5.274155305,21.7530648,1.079466868,1.165596919
Avg_Price,51.55809349,117.1271305,13.84805347,123.2873857,13.08562828,111.4752917,89.89253221,141.2052503,37.90207881,133.4521213,11.68955723,131.2777621,82.23633942,10.97900622,84.67297833,38.19027848,132.3767724,79.55273563,193.1426659,12.04627411,189.4820856,155.9543986,18.67552179,82.52812332,78.98623108,107.3117432,10.07003489,154.0672767,80.93235294,27.40177051,109.2928986,17.01016929,111.5068125,264.2235558
Delivery_Charges,9.729089827,9.080443242,9.526982611,14.43988852,9.443490754,9.198016092,17.52234734,10.32725078,18.99027459,10.5215793,8.117997315,7.126264717,19.64307458,7.985263121,14.02312481,17.454609,7.125555241,19.52550958,7.565105235,7.90761969,7.383578485,7.281021698,24.34729832,14.17162399,19.8136255,7.060750281,7.480122483,7.345535349,19.51591459,16.42035523,10.18567576,28.40896673,7.005773922,7.545353017
Discount_pct,0.198779382,0.2004703,0.198509493,0.194007804,0.198713933,0.200633241,0.192436975,0.196256092,0.200527459,0.194780098,0.198197382,0.201977557,0.190639269,0.198020077,0.196826366,0.200506329,0.201699717,0.188505747,0.197949271,0.198327714,0.198737651,0.19787234,0.197519553,0.192924528,0.190119522,0.205239465,0.198187403,0.198385997,0.190652699,0.201635185,0.189774748,0.195154699,0.203042877,0.211424904
GST,0.137461832,0.10203131,0.157603951,0.100914158,0.157919101,0.104926618,0.110694678,0.094324324,0.143160099,0.097556641,0.158328634,0.096233444,0.114277017,0.158022509,0.110360085,0.146610408,0.096569405,0.115065134,0.080323799,0.158616655,0.081004391,0.094611333,0.152138547,0.110491914,0.11549004,0.102544704,0.157589777,0.093382587,0.114867043,0.159073865,0.104543568,0.140858144,0.100867597,0.052888318
Invoice_Value,96.89361636,164.1825518,32.53535879,412.3203904,31.30635794,142.7458826,486.1855065,289.0219196,105.3985216,308.0060868,24.98250951,150.6756191,517.1850768,23.77264664,268.8953226,93.85406745,148.8940105,516.9474644,347.3991495,24.76858093,353.390853,176.2126664,103.5866724,274.6110469,520.9857511,122.617096,21.19598007,180.7573466,522.8078492,70.34497886,309.5258515,186.8818267,125.1100139,342.2162268
Gender,38%,39%,37%,36%,37%,38%,36%,38%,39%,38%,37%,38%,36%,37%,39%,38%,38%,35%,38%,37%,38%,39%,39%,39%,36%,38%,37%,39%,36%,38%,38%,41%,38%,41%
Location_1,30%,30%,31%,31%,31%,30%,31%,31%,31%,31%,30%,30%,32%,30%,31%,31%,30%,32%,31%,30%,32%,30%,32%,31%,32%,30%,30%,30%,32%,32%,31%,31%,30%,32%
Location_2,35%,35%,35%,34%,35%,35%,33%,35%,35%,34%,35%,35%,33%,35%,35%,35%,35%,33%,34%,35%,34%,36%,36%,35%,33%,34%,35%,36%,33%,35%,34%,37%,34%,33%
Location_3,9%,9%,8%,9%,9%,8%,9%,9%,8%,9%,9%,8%,9%,9%,8%,8%,8%,9%,9%,9%,9%,8%,8%,8%,9%,9%,9%,8%,9%,8%,8%,7%,9%,10%
Location_4,5%,6%,5%,6%,5%,5%,6%,5%,5%,5%,5%,6%,6%,5%,5%,5%,6%,6%,5%,5%,5%,5%,5%,6%,6%,6%,5%,5%,7%,5%,6%,5%,6%,5%
Coupon_Status_1,34%,33%,35%,24%,35%,35%,20%,28%,34%,28%,35%,35%,24%,35%,34%,33%,34%,25%,24%,35%,24%,35%,29%,28%,23%,37%,35%,27%,23%,34%,25%,34%,38%,34%
Coupon_Status_2,51%,51%,50%,58%,50%,49%,61%,56%,51%,56%,50%,50%,59%,50%,51%,52%,51%,58%,57%,50%,57%,51%,54%,56%,60%,48%,50%,56%,60%,52%,58%,51%,47%,50%
Product_Category_1,12%,2%,18%,7%,18%,2%,10%,3%,15%,3%,18%,0%,11%,18%,7%,13%,0%,11%,0%,17%,0%,0%,22%,8%,11%,0%,18%,0%,11%,14%,3%,26%,0%,0%
Product_Category_2,26%,76%,1%,53%,0%,76%,52%,63%,18%,68%,0%,85%,45%,0%,66%,16%,85%,47%,58%,0%,59%,84%,0%,65%,46%,80%,0%,82%,47%,3%,86%,6%,82%,4%
Product_Category_3,4%,3%,4%,3%,4%,4%,5%,2%,9%,2%,3%,1%,6%,3%,3%,8%,1%,6%,0%,3%,0%,0%,7%,3%,6%,5%,3%,0%,6%,5%,2%,8%,4%,0%
Product_Category_4,7%,2%,9%,5%,9%,2%,7%,2%,10%,3%,9%,0%,7%,9%,5%,9%,0%,8%,0%,9%,0%,0%,15%,6%,8%,0%,9%,0%,7%,10%,2%,17%,0%,0%
Product_Category_5,1%,0%,2%,1%,2%,0%,1%,0%,1%,0%,2%,0%,1%,2%,0%,1%,0%,1%,0%,2%,0%,0%,1%,0%,1%,0%,2%,0%,1%,1%,0%,1%,0%,0%
Product_Category_6,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_7,6%,1%,9%,1%,9%,1%,2%,1%,5%,1%,9%,0%,2%,9%,2%,5%,0%,2%,0%,9%,0%,0%,8%,2%,2%,0%,9%,0%,2%,6%,0%,7%,0%,0%
Product_Category_8,4%,9%,0%,19%,0%,8%,9%,22%,3%,16%,0%,11%,8%,0%,5%,3%,10%,7%,37%,0%,37%,11%,1%,5%,7%,9%,0%,14%,7%,1%,1%,1%,9%,89%
Product_Category_9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_11,1%,1%,2%,2%,2%,1%,3%,1%,3%,1%,2%,0%,4%,2%,2%,2%,0%,4%,0%,2%,0%,0%,4%,2%,5%,0%,2%,0%,5%,2%,1%,6%,0%,0%
Product_Category_12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_14,1%,0%,2%,0%,2%,0%,0%,0%,0%,0%,2%,0%,0%,2%,0%,0%,0%,0%,0%,2%,0%,0%,1%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%
Product_Category_15,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_16,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_17,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_18,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Product_Category_19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I HAVE TO MAKE IT AGAIN USING PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
